,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB,SARSA,MCCONTROL,QLEARNING,DQLEARNING
0,10,29,25,5,0.142431,0.074744,0.989000,-2.000000,0.990000,0.989000
1,26,10,19,2,0.304969,0.005359,0.994000,0.994000,0.994000,0.994000
2,31,21,21,5,0.413922,0.158803,0.995000,-2.000000,0.995000,0.995000
3,25,15,10,2,0.259141,0.002151,0.996000,0.996000,0.996000,0.996000
4,31,14,23,1,0.336851,0.049098,0.986000,-2.000000,0.986000,0.986000
5,13,10,31,2,0.248030,0.018906,-2.000000,-1.008000,-2.000000,-2.000000
6,23,11,14,3,0.161591,0.166437,0.997000,0.997000,0.997000,0.992000
7,28,27,17,4,0.225850,0.177281,0.992000,-2.000000,0.992000,0.992000
8,14,16,31,2,0.224929,0.114255,-2.000000,-1.002000,-2.000000,-2.000000
9,30,29,21,3,0.097225,0.062803,0.981000,-2.000000,0.981000,-2.000000
10,28,17,12,3,0.073648,0.133991,0.994000,0.994000,0.994000,0.994000
11,24,28,8,5,0.158416,0.037002,-2.000000,-1.018000,-2.000000,-2.000000
12,29,24,18,3,0.010246,0.160659,0.994000,0.994000,0.994000,0.994000
13,19,19,12,2,0.275787,0.172276,0.998000,0.998000,0.998000,0.998000
14,11,17,8,3,0.356014,0.089812,0.991000,0.982000,0.991000,0.991000
15,15,18,17,1,0.162800,0.190155,-2.000000,-1.000000,-2.000000,-2.000000
16,25,16,27,3,0.077555,0.199484,0.995000,0.995000,0.995000,0.995000
17,13,12,11,4,0.311950,0.194511,0.996000,0.988000,0.996000,0.996000
18,20,27,29,5,0.314240,0.247528,-2.000000,-1.001000,-2.000000,-2.000000
19,30,10,20,5,0.076319,0.188648,0.994000,0.992000,0.994000,0.994000
20,10,25,25,3,0.326209,0.180556,0.984000,-1.000000,0.986000,-2.000000
21,28,13,15,5,0.204921,0.161339,0.997000,0.997000,0.997000,0.997000
22,20,13,26,4,0.412137,0.001998,0.999000,0.999000,0.999000,0.999000
23,28,10,13,4,0.271587,0.097075,0.991000,0.987000,0.991000,0.991000
24,30,16,20,5,0.013616,0.175627,0.989000,-2.000000,0.989000,0.989000
25,20,30,9,5,0.248937,0.029728,0.994000,0.994000,0.994000,0.994000
26,18,13,15,1,0.074302,0.039178,0.984000,-1.001000,0.984000,-2.000000
27,10,29,22,3,0.149641,0.182685,0.982000,-1.003000,0.986000,-2.000000
28,15,11,22,1,0.092853,0.193034,0.986000,-1.000000,0.986000,-2.000000
