,goal_dist_euclid.mean,goal_dist_euclid.std,goal_dist_euclid.max,goal_dist_euclid.min,goal_dist_euclid.median,goal_dist_euclid.kurtosis,goal_dist_euclid.skewness,goal_dist_euclid.sum,goal_dist_euclid.len,goal_dist_manh.mean,goal_dist_manh.std,goal_dist_manh.max,goal_dist_manh.min,goal_dist_manh.median,goal_dist_manh.kurtosis,goal_dist_manh.skewness,goal_dist_manh.sum,goal_dist_manh.len,goal_radial_dist.mean,goal_radial_dist.std,goal_radial_dist.max,goal_radial_dist.min,goal_radial_dist.median,goal_radial_dist.kurtosis,goal_radial_dist.skewness,goal_radial_dist.sum,goal_radial_dist.len,trap_dist_euclid.mean,trap_dist_euclid.std,trap_dist_euclid.max,trap_dist_euclid.min,trap_dist_euclid.median,trap_dist_euclid.kurtosis,trap_dist_euclid.skewness,trap_dist_euclid.sum,trap_dist_euclid.len,trap_dist_manh.mean,trap_dist_manh.std,trap_dist_manh.max,trap_dist_manh.min,trap_dist_manh.median,trap_dist_manh.kurtosis,trap_dist_manh.skewness,trap_dist_manh.sum,trap_dist_manh.len,trap_radial_dist.mean,trap_radial_dist.std,trap_radial_dist.max,trap_radial_dist.min,trap_radial_dist.median,trap_radial_dist.kurtosis,trap_radial_dist.skewness,trap_radial_dist.sum,trap_radial_dist.len,wall_patch_prop
2224,22.183803,2.208819,24.392622,19.974984,22.183803,-2.000000,0.000000,44.367606,2,45.000000,4.000000,49.000000,41.000000,45.000000,-2.000000,0.000000,90.000000,2,,,,,,,,0.000000,0,27.214301,1.543306,28.757608,25.670995,27.214301,-2.000000,0.000000,54.428603,2,63.000000,4.000000,67.000000,59.000000,63.000000,-2.000000,0.000000,126.000000,2,,,,,,,,0.000000,0,0.000000
2225,8.321978,4.716427,13.038405,3.605551,8.321978,-2.000000,0.000000,16.643956,2,11.500000,6.500000,18.000000,5.000000,11.500000,-2.000000,0.000000,23.000000,2,3.605551,0.000000,3.605551,3.605551,3.605551,-3.000000,0.000000,3.605551,1,26.370135,9.252892,35.623026,17.117243,26.370135,-2.000000,0.000000,52.740269,2,83.000000,34.000000,117.000000,49.000000,83.000000,-2.000000,0.000000,166.000000,2,,,,,,,,0.000000,0,0.000000
2226,3.500000,1.500000,5.000000,2.000000,3.500000,-2.000000,0.000000,7.000000,2,3.500000,1.500000,5.000000,2.000000,3.500000,-2.000000,0.000000,7.000000,2,3.500000,1.500000,5.000000,2.000000,3.500000,-2.000000,0.000000,7.000000,2,47.343397,13.476008,60.819405,33.867388,47.343397,-2.000000,0.000000,94.686793,2,179.000000,42.000000,221.000000,137.000000,179.000000,-2.000000,0.000000,358.000000,2,,,,,,,,0.000000,0,0.000000
2227,7.967368,3.608469,11.575837,4.358899,7.967368,-2.000000,0.000000,15.934736,2,12.500000,5.500000,18.000000,7.000000,12.500000,-2.000000,0.000000,25.000000,2,4.358899,0.000000,4.358899,4.358899,4.358899,-3.000000,0.000000,4.358899,1,20.062339,2.915911,22.978251,17.146428,20.062339,-2.000000,0.000000,40.124679,2,69.000000,7.000000,76.000000,62.000000,69.000000,-2.000000,0.000000,138.000000,2,,,,,,,,0.000000,0,0.000000
2228,10.358644,1.303259,11.661904,9.055385,10.358644,-2.000000,0.000000,20.717289,2,13.000000,3.000000,16.000000,10.000000,13.000000,-2.000000,0.000000,26.000000,2,9.055385,0.000000,9.055385,9.055385,9.055385,-3.000000,0.000000,9.055385,1,31.041445,8.996037,40.037482,22.045408,31.041445,-2.000000,0.000000,62.082890,2,86.500000,26.500000,113.000000,60.000000,86.500000,-2.000000,0.000000,173.000000,2,,,,,,,,0.000000,0,0.187500
2229,9.093827,0.549824,9.643651,8.544004,9.093827,-2.000000,-0.000000,18.187655,2,14.000000,1.000000,15.000000,13.000000,14.000000,-2.000000,0.000000,28.000000,2,,,,,,,,0.000000,0,10.827287,0.877413,11.704700,9.949874,10.827287,-2.000000,-0.000000,21.654574,2,29.000000,2.000000,31.000000,27.000000,29.000000,-2.000000,0.000000,58.000000,2,,,,,,,,0.000000,0,0.000000
2230,10.916603,0.572522,11.489125,10.344080,10.916603,-2.000000,0.000000,21.833206,2,20.500000,1.500000,22.000000,19.000000,20.500000,-2.000000,0.000000,41.000000,2,,,,,,,,0.000000,0,26.820615,1.286324,28.106939,25.534291,26.820615,-2.000000,-0.000000,53.641229,2,98.000000,2.000000,100.000000,96.000000,98.000000,-2.000000,0.000000,196.000000,2,,,,,,,,0.000000,0,0.000000
2231,14.144829,7.511579,21.656408,6.633250,14.144829,-2.000000,0.000000,28.289657,2,20.500000,10.500000,31.000000,10.000000,20.500000,-2.000000,0.000000,41.000000,2,6.633250,0.000000,6.633250,6.633250,6.633250,-3.000000,0.000000,6.633250,1,29.208134,19.934516,49.142650,9.273618,29.208134,-2.000000,0.000000,58.416268,2,93.500000,65.500000,159.000000,28.000000,93.500000,-2.000000,0.000000,187.000000,2,,,,,,,,0.000000,0,0.166667
2232,9.500000,1.500000,11.000000,8.000000,9.500000,-2.000000,0.000000,19.000000,2,9.500000,1.500000,11.000000,8.000000,9.500000,-2.000000,0.000000,19.000000,2,8.000000,0.000000,8.000000,8.000000,8.000000,-3.000000,0.000000,8.000000,1,34.197025,4.854223,39.051248,29.342802,34.197025,-2.000000,0.000000,68.394050,2,153.000000,22.000000,175.000000,131.000000,153.000000,-2.000000,0.000000,306.000000,2,,,,,,,,0.000000,0,0.000000
2233,3.354102,1.118034,4.472136,2.236068,3.354102,-2.000000,0.000000,6.708204,2,4.500000,1.500000,6.000000,3.000000,4.500000,-2.000000,0.000000,9.000000,2,3.354102,1.118034,4.472136,2.236068,3.354102,-2.000000,0.000000,6.708204,2,57.032593,12.953120,69.985713,44.079474,57.032593,-2.000000,0.000000,114.065187,2,248.500000,41.500000,290.000000,207.000000,248.500000,-2.000000,0.000000,497.000000,2,,,,,,,,0.000000,0,0.000000
2234,18.013276,5.246131,23.259407,12.767145,18.013276,-2.000000,0.000000,36.026552,2,35.000000,12.000000,47.000000,23.000000,35.000000,-2.000000,0.000000,70.000000,2,,,,,,,,0.000000,0,44.734619,12.361791,57.096410,32.372828,44.734619,-2.000000,-0.000000,89.469238,2,201.000000,53.000000,254.000000,148.000000,201.000000,-2.000000,0.000000,402.000000,2,,,,,,,,0.000000,0,0.000000
2235,5.500000,1.500000,7.000000,4.000000,5.500000,-2.000000,0.000000,11.000000,2,5.500000,1.500000,7.000000,4.000000,5.500000,-2.000000,0.000000,11.000000,2,5.500000,1.500000,7.000000,4.000000,5.500000,-2.000000,0.000000,11.000000,2,51.626454,23.306850,74.933304,28.319605,51.626454,-2.000000,0.000000,103.252908,2,219.500000,91.500000,311.000000,128.000000,219.500000,-2.000000,0.000000,439.000000,2,,,,,,,,0.000000,0,0.000000
2236,3.500000,0.500000,4.000000,3.000000,3.500000,-2.000000,0.000000,7.000000,2,3.500000,0.500000,4.000000,3.000000,3.500000,-2.000000,0.000000,7.000000,2,3.500000,0.500000,4.000000,3.000000,3.500000,-2.000000,0.000000,7.000000,2,32.116596,4.530368,36.646964,27.586228,32.116596,-2.000000,-0.000000,64.233193,2,81.000000,10.000000,91.000000,71.000000,81.000000,-2.000000,0.000000,162.000000,2,,,,,,,,0.000000,0,0.093750
2237,7.000000,5.000000,12.000000,2.000000,7.000000,-2.000000,0.000000,14.000000,2,7.000000,5.000000,12.000000,2.000000,7.000000,-2.000000,0.000000,14.000000,2,7.000000,5.000000,12.000000,2.000000,7.000000,-2.000000,0.000000,14.000000,2,58.862895,12.516374,71.379269,46.346521,58.862895,-2.000000,0.000000,117.725790,2,201.500000,53.500000,255.000000,148.000000,201.500000,-2.000000,0.000000,403.000000,2,,,,,,,,0.000000,0,0.041667
2238,17.899593,11.983513,29.883106,5.916080,17.899593,-2.000000,0.000000,35.799185,2,30.000000,21.000000,51.000000,9.000000,30.000000,-2.000000,0.000000,60.000000,2,5.916080,0.000000,5.916080,5.916080,5.916080,-3.000000,0.000000,5.916080,1,36.932126,20.530906,57.463032,16.401219,36.932126,-2.000000,-0.000000,73.864251,2,134.500000,75.500000,210.000000,59.000000,134.500000,-2.000000,0.000000,269.000000,2,,,,,,,,0.000000,0,0.041667
2239,15.887584,1.258845,17.146428,14.628739,15.887584,-2.000000,-0.000000,31.775167,2,30.000000,2.000000,32.000000,28.000000,30.000000,-2.000000,0.000000,60.000000,2,,,,,,,,0.000000,0,21.403012,3.796195,25.199206,17.606817,21.403012,-2.000000,0.000000,42.806023,2,51.500000,5.500000,57.000000,46.000000,51.500000,-2.000000,0.000000,103.000000,2,,,,,,,,0.000000,0,0.000000
2240,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,3.000000,2.000000,5.000000,1.000000,3.000000,-2.000000,0.000000,6.000000,2,12.737906,0.863564,13.601471,11.874342,12.737906,-2.000000,-0.000000,25.475813,2,35.000000,0.000000,35.000000,35.000000,35.000000,-3.000000,0.000000,70.000000,2,,,,,,,,0.000000,0,0.000000
