,goal_dist_euclid.mean,goal_dist_euclid.std,goal_dist_euclid.max,goal_dist_euclid.min,goal_dist_euclid.median,goal_dist_euclid.kurtosis,goal_dist_euclid.skewness,goal_dist_euclid.sum,goal_dist_euclid.len,goal_dist_manh.mean,goal_dist_manh.std,goal_dist_manh.max,goal_dist_manh.min,goal_dist_manh.median,goal_dist_manh.kurtosis,goal_dist_manh.skewness,goal_dist_manh.sum,goal_dist_manh.len,goal_radial_dist.mean,goal_radial_dist.std,goal_radial_dist.max,goal_radial_dist.min,goal_radial_dist.median,goal_radial_dist.kurtosis,goal_radial_dist.skewness,goal_radial_dist.sum,goal_radial_dist.len,trap_dist_euclid.mean,trap_dist_euclid.std,trap_dist_euclid.max,trap_dist_euclid.min,trap_dist_euclid.median,trap_dist_euclid.kurtosis,trap_dist_euclid.skewness,trap_dist_euclid.sum,trap_dist_euclid.len,trap_dist_manh.mean,trap_dist_manh.std,trap_dist_manh.max,trap_dist_manh.min,trap_dist_manh.median,trap_dist_manh.kurtosis,trap_dist_manh.skewness,trap_dist_manh.sum,trap_dist_manh.len,trap_radial_dist.mean,trap_radial_dist.std,trap_radial_dist.max,trap_radial_dist.min,trap_radial_dist.median,trap_radial_dist.kurtosis,trap_radial_dist.skewness,trap_radial_dist.sum,trap_radial_dist.len,SARSA,MCCONTROL,QLEARNING,DQLEARNING
176,6.0,0.0,6.0,6.0,6.0,-3.0,0.0,12.0,2,6.0,0.0,6.0,6.0,6.0,-3.0,0.0,12.0,2,6.0,0.0,6.0,6.0,6.0,-3.0,0.0,12.0,2,51.77585874181135,11.800866559197981,63.57672530100933,39.97499218261337,51.77585874181135,-2.0,8.993150061777596e-16,103.5517174836227,2,219.0,51.0,270.0,168.0,219.0,-2.0,0.0,438.0,2,,,,,,,,0.0,0,0.989,0.989,0.989,0.989
177,9.565523149395352,3.1623989119625033,12.727922061357855,6.4031242374328485,9.565523149395352,-2.0,0.0,19.131046298790704,2,15.5,6.5,22.0,9.0,15.5,-2.0,0.0,31.0,2,6.4031242374328485,0.0,6.4031242374328485,6.4031242374328485,6.4031242374328485,-3.0,0.0,6.4031242374328485,1,19.56329499626514,0.8817533039957333,20.445048300260872,18.681541692269406,19.56329499626514,-2.0,0.0,39.12658999253028,2,63.5,2.5,66.0,61.0,63.5,-2.0,0.0,127.0,2,,,,,,,,0.0,0,0.992,0.99,0.992,0.992
178,12.059870314521703,3.1716758972061143,15.231546211727817,8.888194417315589,12.059870314521703,-2.0,0.0,24.119740629043406,2,24.5,7.5,32.0,17.0,24.5,-2.0,0.0,49.0,2,8.888194417315589,0.0,8.888194417315589,8.888194417315589,8.888194417315589,-3.0,0.0,8.888194417315589,1,31.565885415040608,2.2571836355349184,33.823069050575526,29.30870177950569,31.565885415040608,-2.0,0.0,63.131770830081216,2,153.5,14.5,168.0,139.0,153.5,-2.0,0.0,307.0,2,,,,,,,,0.0,0,0.99,0.992,0.995,0.99
179,17.982466868540943,1.4597552266826384,19.44222209522358,16.522711641858304,17.982466868540943,-2.0,0.0,35.964933737081886,2,32.5,3.5,36.0,29.0,32.5,-2.0,0.0,65.0,2,,,,,,,,0.0,0,57.96784304235453,3.3509958246690346,61.318838867023565,54.616847217685496,57.96784304235453,-2.0,0.0,115.93568608470906,2,243.5,16.5,260.0,227.0,243.5,-2.0,0.0,487.0,2,,,,,,,,0.0,0,0.989,0.989,0.989,-2.000000000000001
180,8.167747513708967,0.8876376244284496,9.055385138137417,7.280109889280518,8.167747513708967,-2.0,1.508088151031373e-15,16.335495027417934,2,9.5,0.5,10.0,9.0,9.5,-2.0,0.0,19.0,2,,,,,,,,0.0,0,21.52030069259812,1.1733107432223147,22.693611435820433,20.346989949375804,21.52030069259812,-2.0,-4.605172375072668e-15,43.04060138519624,2,82.5,4.5,87.0,78.0,82.5,-2.0,0.0,165.0,2,,,,,,,,0.0,0,0.998,0.998,0.998,0.998
181,2.0,2.0,4.0,0.0,2.0,-2.0,0.0,4.0,2,2.0,2.0,4.0,0.0,2.0,-2.0,0.0,4.0,2,2.0,2.0,4.0,0.0,2.0,-2.0,0.0,4.0,2,24.363856620330306,11.95418297433945,36.318039594669756,12.409673645990857,24.363856620330306,-2.0,0.0,48.72771324066061,2,69.5,33.5,103.0,36.0,69.5,-2.0,0.0,139.0,2,,,,,,,,0.0,0,0.985,0.995,0.995,0.995
182,17.962914550658972,4.509290503585261,22.47220505424423,13.45362404707371,17.962914550658972,-2.0,-1.1624032568621203e-15,35.925829101317944,2,30.0,7.0,37.0,23.0,30.0,-2.0,0.0,60.0,2,,,,,,,,0.0,0,47.309950995575406,17.88207305645108,65.19202405202648,29.427877939124322,47.309950995575406,-2.0,-5.566915423793064e-16,94.61990199115081,2,154.0,62.0,216.0,92.0,154.0,-2.0,0.0,308.0,2,,,,,,,,0.0,0,0.983,-2.000000000000001,0.983,-2.000000000000001
183,11.011460039729275,3.2012103638226206,14.212670403551895,7.810249675906654,11.011460039729275,-2.0,-8.663782727369235e-16,22.02292007945855,2,15.5,4.5,20.0,11.0,15.5,-2.0,0.0,31.0,2,7.810249675906654,0.0,7.810249675906654,7.810249675906654,7.810249675906654,-3.0,0.0,7.810249675906654,1,53.07094658016527,16.030428225260994,69.10137480542626,37.04051835490427,53.07094658016527,-2.0,-6.623477362695147e-16,106.14189316033054,2,224.5,72.5,297.0,152.0,224.5,-2.0,0.0,449.0,2,,,,,,,,0.0,0,0.987,0.987,0.987,0.987
184,5.23606797749979,0.7639320225002102,6.0,4.47213595499958,5.23606797749979,-2.0,0.0,10.47213595499958,2,6.0,0.0,6.0,6.0,6.0,-3.0,0.0,12.0,2,5.23606797749979,0.7639320225002102,6.0,4.47213595499958,5.23606797749979,-2.0,0.0,10.47213595499958,2,34.05575940349706,6.1810396739643565,40.23679907746142,27.874719729532707,34.05575940349706,-2.0,0.0,68.11151880699413,2,147.0,22.0,169.0,125.0,147.0,-2.0,0.0,294.0,2,,,,,,,,0.0,0,0.999,0.999,0.999,0.999
185,11.5,2.5,14.0,9.0,11.5,-2.0,0.0,23.0,2,11.5,2.5,14.0,9.0,11.5,-2.0,0.0,23.0,2,9.0,0.0,9.0,9.0,9.0,-3.0,0.0,9.0,1,36.90548340996686,1.4090047113691675,38.31448812133603,35.4964786985977,36.90548340996686,-2.0,7.540957530237568e-15,73.81096681993372,2,130.0,2.0,132.0,128.0,130.0,-2.0,0.0,260.0,2,,,,,,,,0.0,0,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
