,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB,SARSA,MCCONTROL,QLEARNING,DQLEARNING
1331,26,24,22,2,0.463118,0.025289,-2.000000,-2.000000,-2.000000,-2.000000
1332,15,25,21,1,0.375314,0.231086,-2.000000,-1.006000,-2.000000,-2.000000
1333,30,24,31,5,0.334057,0.147910,0.997000,-2.000000,0.997000,-2.000000
1334,23,14,15,5,0.286577,0.084131,-2.000000,-2.000000,-2.000000,-2.000000
1335,30,30,21,3,0.042067,0.001826,-2.000000,0.991000,-2.000000,-2.000000
1336,18,27,16,2,0.385521,0.171229,-2.000000,-1.003000,-2.000000,-2.000000
1337,12,21,22,3,0.114771,0.018580,0.996000,0.996000,0.996000,-2.000000
1338,14,14,22,1,0.352502,0.048414,-2.000000,0.992000,0.992000,-2.000000
1339,15,25,21,3,0.422680,0.045530,-2.000000,-1.002000,-2.000000,-2.000000
1340,13,18,14,5,0.306851,0.138463,0.998000,0.995000,0.998000,0.998000
1341,20,29,30,1,0.015794,0.007843,-2.000000,-2.000000,-2.000000,-2.000000
1342,24,28,31,5,0.388987,0.137871,-2.000000,0.991000,-2.000000,-2.000000
1343,20,26,20,5,0.028568,0.075543,-2.000000,-2.000000,-2.000000,-2.000000
1344,17,19,20,1,0.241171,0.146071,-2.000000,-1.004000,-2.000000,-2.000000
1345,22,30,31,5,0.414955,0.126835,0.996000,0.996000,0.996000,-2.000000
1346,14,14,25,3,0.414121,0.098817,0.995000,0.997000,0.997000,-2.000000
1347,27,25,10,5,0.375537,0.178784,0.999000,0.997000,0.999000,0.999000
1348,27,15,24,1,0.354136,0.116035,-2.000000,-1.000000,-2.000000,-2.000000
1349,24,30,16,1,0.123390,0.242163,0.995000,0.995000,0.995000,-2.000000
1350,18,21,9,2,0.120151,0.244372,0.997000,0.997000,0.997000,0.997000
1351,26,13,13,4,0.331853,0.202525,0.996000,0.996000,0.996000,-2.000000
1352,18,20,14,3,0.090138,0.239738,0.993000,0.991000,0.993000,-2.000000
1353,21,25,26,2,0.437583,0.191817,0.997000,0.997000,0.997000,-2.000000
1354,11,17,23,5,0.418065,0.145154,0.998000,0.998000,0.998000,0.998000
1355,13,17,9,2,0.219113,0.242705,1.000000,1.000000,1.000000,1.000000
1356,21,27,19,3,0.487553,0.073946,0.996000,-2.000000,0.996000,0.996000
1357,31,23,16,5,0.351535,0.091481,-2.000000,-2.000000,-2.000000,-2.000000
1358,14,19,14,4,0.080832,0.215569,-2.000000,0.994000,-2.000000,-2.000000
1359,28,19,8,4,0.360701,0.162990,-2.000000,-2.000000,0.992000,-2.000000
1360,15,18,12,4,0.462251,0.210348,0.999000,0.999000,0.999000,0.999000
1361,20,30,23,5,0.341115,0.203146,0.996000,0.994000,0.996000,-2.000000
1362,25,25,24,4,0.236261,0.046681,0.994000,0.994000,-2.000000,-2.000000
1363,26,24,26,5,0.307544,0.148853,0.996000,0.996000,0.996000,0.996000
1364,28,27,14,1,0.397949,0.033682,0.999000,0.999000,0.999000,0.999000
1365,23,20,12,5,0.487207,0.068743,0.998000,0.998000,0.998000,0.998000
1366,25,10,22,1,0.197826,0.170912,-2.000000,-1.000000,-2.000000,-2.000000
1367,12,11,12,3,0.118997,0.139491,0.998000,0.998000,0.998000,0.998000
1368,18,24,20,2,0.364037,0.126159,-2.000000,-2.000000,-2.000000,-2.000000
1369,22,14,28,3,0.209041,0.142756,0.999000,0.999000,0.999000,0.999000
1370,14,26,12,5,0.050330,0.023764,0.999000,0.999000,0.999000,0.999000
1371,13,20,15,2,0.377705,0.142129,0.996000,0.996000,0.996000,0.996000
1372,14,27,21,3,0.011911,0.002435,-2.000000,-2.000000,-2.000000,-2.000000
1373,17,24,17,5,0.212592,0.204201,0.998000,0.998000,0.998000,0.998000
1374,30,24,16,1,0.404734,0.198129,-2.000000,-2.000000,-2.000000,-2.000000
1375,21,12,9,1,0.475205,0.078713,-2.000000,-2.000000,-2.000000,-2.000000
1376,31,11,19,1,0.016377,0.096278,0.995000,0.995000,0.995000,-2.000000
1377,27,25,30,4,0.289704,0.008416,0.996000,0.996000,0.996000,0.996000
1378,11,21,20,2,0.104126,0.075252,0.994000,0.994000,0.990000,-2.000000
1379,17,27,25,3,0.375413,0.072506,0.988000,-1.000000,-2.000000,-2.000000
1380,24,24,26,4,0.225426,0.164915,-2.000000,0.989000,-2.000000,-2.000000
1381,22,31,11,5,0.474137,0.192537,0.992000,-2.000000,-2.000000,-2.000000
1382,29,13,14,1,0.490553,0.135997,-2.000000,-1.003000,-2.000000,-2.000000
1383,25,29,19,4,0.255084,0.008476,0.999000,0.999000,0.999000,0.999000
1384,17,16,21,3,0.388751,0.028714,1.000000,1.000000,1.000000,1.000000
1385,26,18,20,3,0.482663,0.101295,-2.000000,-2.000000,-2.000000,-2.000000
1386,30,10,9,5,0.040065,0.244125,0.992000,0.992000,0.996000,-2.000000
1387,11,12,31,2,0.295189,0.104013,-2.000000,-1.000000,-2.000000,-2.000000
1388,16,28,21,4,0.340458,0.091374,0.995000,0.995000,0.995000,0.995000
1389,25,12,30,4,0.071026,0.180260,0.995000,0.995000,0.995000,-2.000000
1390,24,20,10,4,0.001363,0.180623,0.996000,0.996000,0.996000,0.996000
1391,14,24,21,5,0.356732,0.240690,-2.000000,-2.000000,0.995000,-2.000000
1392,21,26,25,1,0.382389,0.196365,-2.000000,-1.001000,-2.000000,-2.000000
1393,29,18,30,5,0.366738,0.211105,0.998000,0.998000,0.998000,0.998000
1394,10,19,13,4,0.445042,0.197834,-2.000000,0.997000,0.997000,0.997000
1395,29,25,13,5,0.174017,0.163942,-2.000000,-2.000000,-2.000000,-2.000000
1396,17,28,25,3,0.207781,0.131038,0.996000,0.996000,0.996000,-2.000000
1397,11,28,15,1,0.089051,0.103739,-2.000000,-2.000000,-2.000000,-2.000000
1398,11,13,10,2,0.031133,0.187880,0.996000,0.996000,0.996000,-2.000000
1399,16,20,11,3,0.142473,0.118512,0.995000,0.995000,0.995000,-2.000000
1400,14,15,25,4,0.197175,0.018992,0.999000,0.999000,0.999000,0.999000
1401,20,27,31,3,0.427845,0.091702,-2.000000,-2.000000,-2.000000,-2.000000
1402,20,26,28,2,0.315162,0.040638,-2.000000,0.992000,-2.000000,-2.000000
1403,15,20,23,2,0.054222,0.240357,0.997000,0.997000,0.997000,0.997000
1404,25,19,19,1,0.422144,0.165511,-2.000000,-1.000000,-2.000000,-2.000000
1405,18,25,8,2,0.345911,0.000165,-2.000000,-1.001000,-2.000000,-2.000000
1406,18,16,21,1,0.263742,0.071228,-2.000000,0.990000,-2.000000,-2.000000
1407,15,19,26,2,0.273848,0.070811,0.992000,0.997000,0.997000,-2.000000
1408,24,22,15,3,0.238963,0.242220,-2.000000,-2.000000,-2.000000,-2.000000
1409,17,31,11,3,0.039837,0.161435,-2.000000,-2.000000,-2.000000,-2.000000
1410,15,30,12,1,0.022380,0.179822,-2.000000,-1.000000,-2.000000,-2.000000
1411,14,22,27,3,0.465676,0.212064,0.996000,0.997000,0.997000,0.997000
1412,28,28,29,1,0.131460,0.017097,-2.000000,-1.003000,-2.000000,-2.000000
1413,12,28,16,5,0.077404,0.138275,0.993000,0.995000,0.995000,-2.000000
1414,18,23,12,5,0.168679,0.154340,0.999000,0.999000,0.999000,0.999000
1415,25,13,24,5,0.040211,0.180635,0.996000,0.996000,0.996000,-2.000000
1416,26,31,14,5,0.124756,0.036202,-2.000000,-2.000000,-2.000000,-2.000000
